step,wall_time,value
500,1754814792.9609504,301.0
1000,1754814794.1401787,352.0
1500,1754814795.8447304,330.0
2000,1754814798.282925,286.0
2500,1754814799.4490817,306.0
3000,1754814800.3362985,332.0
3500,1754814802.6960027,307.0
4000,1754814804.6883838,298.0
4500,1754814806.0034032,306.0
5000,1754814809.5564234,273.0
5500,1754814810.8058982,282.0
6000,1754814811.7850716,292.0
6500,1754814813.6642876,290.0
7000,1754814816.0176532,283.0
7500,1754814817.1172798,290.0
8000,1754814818.260223,296.0
8500,1754814820.0558012,295.0
9000,1754814821.7638907,295.0
9500,1754814822.7028234,302.0
10000,1754814827.951599,272.0
10500,1754814828.7587638,280.0
11000,1754814830.2901194,282.0
11500,1754814832.1587296,281.0
12000,1754814833.4182377,284.0
12500,1754814834.2534387,291.0
13000,1754814835.5356157,293.0
13500,1754814837.5088549,292.0
14000,1754814838.7732196,294.0
14500,1754814839.533494,300.0
15000,1754814840.3411536,305.0
15500,1754814841.8558085,306.0
16000,1754814843.7842908,304.0
16500,1754814846.0087416,301.0
17000,1754814848.6926513,296.0
17500,1754814849.6681774,299.0
18000,1754814850.6865306,303.0
18500,1754814852.919988,300.0
19000,1754814854.595405,300.0
19500,1754814855.4091315,304.0
20000,1754814860.6341765,288.0
20500,1754814861.414724,292.0
21000,1754814862.77834,293.0
21500,1754814866.1026337,287.0
22000,1754814867.764261,287.0
22500,1754814869.0512822,289.0
23000,1754814871.830862,285.0
23500,1754814874.9318314,281.0
24000,1754814877.4238596,278.0
24500,1754814878.4246683,281.0
25000,1754814879.3869243,283.0
25500,1754814882.1233757,280.0
26000,1754814883.6027224,281.0
26500,1754814884.5566642,284.0
27000,1754814886.5714357,283.0
27500,1754814889.107094,281.0
28000,1754814890.6521878,281.0
28500,1754814891.5317163,284.0
29000,1754814893.1469316,284.0
29500,1754814895.6070294,282.0
30000,1754814901.4102988,272.0
30500,1754814902.505483,274.0
31000,1754814903.488801,276.0
31500,1754814905.9315443,274.0
32000,1754814907.6179187,275.0
32500,1754814909.0048115,276.0
33000,1754814911.5825608,274.0
33500,1754814914.0174747,272.0
34000,1754814914.935483,275.0
34500,1754814916.0119548,276.0
35000,1754814918.3852637,275.0
35500,1754814920.678945,274.0
36000,1754814921.5663772,276.0
36500,1754814922.4438972,278.0
37000,1754814923.956934,278.0
