step,wall_time,value
500,1754815777.7179017,401.0
1000,1754815781.78149,401.0
1500,1754815785.752015,401.0
2000,1754815787.4531083,401.0
2500,1754815789.908438,401.0
3000,1754815791.1537178,401.0
3500,1754815792.2656791,401.0
4000,1754815794.2225149,401.0
4500,1754815797.1941729,401.0
5000,1754815801.7381814,401.0
5500,1754815803.7120047,401.0
6000,1754815804.566428,401.0
6500,1754815806.043981,401.0
7000,1754815808.4550407,401.0
7500,1754815809.288086,401.0
8000,1754815810.2401211,401.0
8500,1754815812.1589453,401.0
9000,1754815814.4751062,401.0
9500,1754815817.1831572,401.0
10000,1754815821.6661158,401.0
10500,1754815823.4930458,401.0
11000,1754815825.5205357,401.0
11500,1754815827.7688663,401.0
12000,1754815828.9480162,401.0
12500,1754815829.9742558,401.0
13000,1754815832.0105855,401.0
13500,1754815833.767929,401.0
14000,1754815834.881055,401.0
14500,1754815838.4988887,401.0
15000,1754815842.254838,401.0
15500,1754815844.8381212,401.0
16000,1754815847.965098,401.0
16500,1754815852.8077586,401.0
17000,1754815854.6951,401.0
17500,1754815855.539291,401.0
18000,1754815856.4133859,401.0
18500,1754815858.5826678,401.0
19000,1754815860.5577345,401.0
19500,1754815861.8179123,401.0
20000,1754815870.2104018,401.0
20500,1754815871.0371826,401.0
21000,1754815874.222726,401.0
21500,1754815878.1831183,401.0
22000,1754815880.1475205,401.0
22500,1754815883.1795516,401.0
23000,1754815887.0052867,401.0
23500,1754815890.2960098,401.0
24000,1754815891.593854,401.0
24500,1754815893.5078073,401.0
25000,1754815895.9626386,401.0
25500,1754815897.8555644,401.0
26000,1754815901.1223135,401.0
26500,1754815902.7578866,401.0
27000,1754815904.696579,401.0
27500,1754815906.1494184,401.0
28000,1754815906.9614003,401.0
28500,1754815907.7552927,401.0
29000,1754815909.2005796,401.0
29500,1754815912.0833087,401.0
30000,1754815917.8804276,401.0
30500,1754815920.1069129,401.0
31000,1754815921.1670828,401.0
31500,1754815923.0366018,401.0
32000,1754815926.3441694,401.0
32500,1754815928.7704465,401.0
33000,1754815929.6167164,401.0
33500,1754815930.6244977,401.0
34000,1754815934.0280502,401.0
34500,1754815937.2049375,401.0
35000,1754815940.0347393,401.0
35500,1754815943.635494,401.0
36000,1754815946.1607482,401.0
36500,1754815948.9661806,401.0
37000,1754815950.2667189,401.0
37500,1754815952.8476243,401.0
38000,1754815954.5462651,401.0
38500,1754815956.8821065,401.0
39000,1754815959.3143518,401.0
39500,1754815960.2316403,401.0
40000,1754815967.4740646,401.0
40500,1754815970.3994455,401.0
41000,1754815972.8334692,401.0
41500,1754815973.8530126,401.0
42000,1754815975.6747327,401.0
42500,1754815978.6537387,401.0
43000,1754815982.2127104,401.0
43500,1754815984.6479545,401.0
44000,1754815988.2101822,401.0
44500,1754815989.321223,401.0
45000,1754815992.294458,401.0
45500,1754815995.3640027,401.0
46000,1754815997.308248,401.0
46500,1754815999.9792953,401.0
47000,1754816002.1586308,401.0
47500,1754816003.042946,401.0
48000,1754816003.8605292,401.0
48500,1754816005.093607,401.0
49000,1754816007.3248231,401.0
49500,1754816008.3663054,401.0
50000,1754816013.942202,401.0
50500,1754816015.7136433,401.0
51000,1754816017.8515165,401.0
51500,1754816018.731573,401.0
52000,1754816019.4881334,401.0
52500,1754816020.5609362,401.0
53000,1754816023.0733635,401.0
53500,1754816024.9330597,401.0
54000,1754816026.0059938,401.0
54500,1754816028.4254336,401.0
55000,1754816030.7519374,401.0
55500,1754816031.6933537,401.0
56000,1754816034.3929877,401.0
56500,1754816036.654196,401.0
57000,1754816037.6010108,401.0
57500,1754816038.4140663,401.0
58000,1754816041.434044,401.0
58500,1754816043.3533268,401.0
59000,1754816044.1130447,401.0
59500,1754816044.895028,401.0
60000,1754816054.2924726,401.0
60500,1754816055.3263798,401.0
61000,1754816056.1256633,401.0
61500,1754816057.1089435,401.0
62000,1754816058.9922411,401.0
62500,1754816060.8104732,401.0
63000,1754816061.676123,401.0
63500,1754816062.5195663,401.0
64000,1754816064.309685,401.0
64500,1754816066.3182425,401.0
65000,1754816067.0973675,401.0
65500,1754816067.9898114,401.0
66000,1754816069.2323647,401.0
66500,1754816071.0700579,401.0
67000,1754816073.1414106,401.0
67500,1754816074.537248,401.0
68000,1754816075.2954323,401.0
68500,1754816076.0861459,401.0
69000,1754816079.265985,401.0
69500,1754816082.0699193,401.0
70000,1754816086.8882365,401.0
70500,1754816088.4347222,401.0
71000,1754816089.3159626,401.0
71500,1754816090.5315983,401.0
72000,1754816093.1726837,401.0
72500,1754816095.9034715,401.0
73000,1754816098.3590112,401.0
73500,1754816099.3535109,401.0
74000,1754816100.1735747,401.0
74500,1754816101.7756274,401.0
75000,1754816103.8086712,401.0
75500,1754816104.872505,401.0
76000,1754816105.7197287,401.0
76500,1754816107.7680142,401.0
77000,1754816110.0522232,401.0
77500,1754816112.1829174,401.0
78000,1754816113.4603271,401.0
78500,1754816115.5691066,401.0
79000,1754816117.9879045,401.0
79500,1754816121.4459145,401.0
80000,1754816127.3820386,401.0
80500,1754816128.711616,401.0
81000,1754816129.8479893,401.0
81500,1754816131.7015088,401.0
82000,1754816134.1293204,401.0
82500,1754816136.4271898,401.0
83000,1754816137.7435148,401.0
83500,1754816138.7696881,401.0
84000,1754816140.0100262,401.0
84500,1754816142.5282567,401.0
85000,1754816145.139188,401.0
85500,1754816146.0356615,401.0
86000,1754816146.8624318,401.0
86500,1754816148.1691203,401.0
87000,1754816150.3499289,401.0
87500,1754816152.6579962,401.0
88000,1754816154.5169516,401.0
88500,1754816155.4545047,401.0
89000,1754816156.3686402,401.0
