step,wall_time,value
500,1754815777.7189898,-2.854867458343506
1000,1754815781.78149,-2.836606025695801
1500,1754815785.752015,-2.8377764225006104
2000,1754815787.4546173,-2.8483529090881348
2500,1754815789.908438,-2.855060577392578
3000,1754815791.1537178,-2.8454675674438477
3500,1754815792.2656791,-2.8464839458465576
4000,1754815794.2225149,-2.8556647300720215
4500,1754815797.1941729,-2.8541173934936523
5000,1754815801.73869,-2.8510427474975586
5500,1754815803.7120047,-2.863109588623047
6000,1754815804.566428,-2.8445379734039307
6500,1754815806.043981,-2.8443915843963623
7000,1754815808.4550407,-2.8295698165893555
7500,1754815809.288086,-2.82185697555542
8000,1754815810.2411213,-2.815671443939209
8500,1754815812.1589453,-2.8140358924865723
9000,1754815814.4751062,-2.801596164703369
9500,1754815817.1841645,-2.8069615364074707
10000,1754815821.5380993,-2.794023275375366
10500,1754815823.4930458,-2.8010807037353516
11000,1754815825.5205357,-2.817037343978882
11500,1754815827.7688663,-2.8281660079956055
12000,1754815828.9480162,-2.8282198905944824
12500,1754815829.9742558,-2.8271923065185547
13000,1754815832.0105855,-2.8254051208496094
13500,1754815833.767929,-2.8129210472106934
14000,1754815834.881055,-2.8028221130371094
14500,1754815838.4988887,-2.799762010574341
15000,1754815842.254838,-2.8019871711730957
15500,1754815844.838626,-2.8020992279052734
16000,1754815847.9660952,-2.804588794708252
16500,1754815852.808756,-2.804443359375
17000,1754815854.6951,-2.802617073059082
17500,1754815855.5402942,-2.8143534660339355
18000,1754815856.414384,-2.812666177749634
18500,1754815858.5826678,-2.8327674865722656
19000,1754815860.5577345,-2.8228108882904053
19500,1754815861.8179123,-2.8179728984832764
20000,1754815870.2069173,-2.8206357955932617
20500,1754815871.0371826,-2.834266185760498
21000,1754815874.2240274,-2.8326847553253174
21500,1754815878.1831183,-2.8320045471191406
22000,1754815880.1475205,-2.834805965423584
22500,1754815883.1805487,-2.8442025184631348
23000,1754815887.0052867,-2.842716693878174
23500,1754815890.2960098,-2.841343402862549
24000,1754815891.593854,-2.8373048305511475
24500,1754815893.5078073,-2.842738151550293
25000,1754815895.9626386,-2.8408989906311035
25500,1754815897.8565643,-2.827571392059326
26000,1754815901.123803,-2.824434757232666
26500,1754815902.7578866,-2.828000068664551
27000,1754815904.696579,-2.8322415351867676
27500,1754815906.1494184,-2.8222317695617676
28000,1754815906.9614003,-2.8217010498046875
28500,1754815907.7552927,-2.825178623199463
29000,1754815909.2005796,-2.817847728729248
29500,1754815912.0843065,-2.784639835357666
30000,1754815917.8570468,-2.7775301933288574
30500,1754815920.1069129,-2.7631402015686035
31000,1754815921.1670828,-2.762829303741455
31500,1754815923.0381093,-2.747788429260254
32000,1754815926.3441694,-2.74894380569458
32500,1754815928.7704465,-2.7497472763061523
33000,1754815929.6167164,-2.7533740997314453
33500,1754815930.6244977,-2.7433300018310547
34000,1754815934.0290444,-2.732433795928955
34500,1754815937.2054453,-2.7188611030578613
35000,1754815940.0347393,-2.7151734828948975
35500,1754815943.635494,-2.7310686111450195
36000,1754815946.1617436,-2.721700668334961
36500,1754815948.9661806,-2.721025228500366
37000,1754815950.2667189,-2.7138543128967285
37500,1754815952.8476243,-2.7011096477508545
38000,1754815954.5462651,-2.6903493404388428
38500,1754815956.8821065,-2.680619478225708
39000,1754815959.3143518,-2.6841683387756348
39500,1754815960.232644,-2.666067600250244
40000,1754815967.4566717,-2.6565639972686768
40500,1754815970.3994455,-2.649944305419922
41000,1754815972.8334692,-2.644289970397949
41500,1754815973.8545203,-2.648869276046753
42000,1754815975.6747327,-2.6477303504943848
42500,1754815978.6537387,-2.659724712371826
43000,1754815982.2127104,-2.648475170135498
43500,1754815984.6479545,-2.658834457397461
44000,1754815988.2101822,-2.6643869876861572
44500,1754815989.321223,-2.6485114097595215
45000,1754815992.294458,-2.647644519805908
45500,1754815995.3640027,-2.6391944885253906
46000,1754815997.308248,-2.6410937309265137
46500,1754815999.9802918,-2.643037796020508
47000,1754816002.1586308,-2.650465726852417
47500,1754816003.042946,-2.6521615982055664
48000,1754816003.8605292,-2.6569552421569824
48500,1754816005.093607,-2.652492046356201
49000,1754816007.3248231,-2.651942729949951
49500,1754816008.3663054,-2.6518383026123047
50000,1754816013.9263144,-2.6405272483825684
50500,1754816015.7136433,-2.650876998901367
51000,1754816017.8515165,-2.652998685836792
51500,1754816018.731573,-2.6389565467834473
52000,1754816019.4881334,-2.62544584274292
52500,1754816020.5619338,-2.618486166000366
53000,1754816023.0733635,-2.612921953201294
53500,1754816024.9330597,-2.6152946949005127
54000,1754816026.0059938,-2.602128505706787
54500,1754816028.4254336,-2.593963384628296
55000,1754816030.7519374,-2.5940258502960205
55500,1754816031.6943498,-2.5928726196289062
56000,1754816034.3929877,-2.5895490646362305
56500,1754816036.654196,-2.5928165912628174
57000,1754816037.6010108,-2.595587730407715
57500,1754816038.4140663,-2.5822463035583496
58000,1754816041.434044,-2.5714428424835205
58500,1754816043.3533268,-2.5783066749572754
59000,1754816044.1130447,-2.5601775646209717
59500,1754816044.895028,-2.553717851638794
60000,1754816054.2850587,-2.524009943008423
60500,1754816055.3263798,-2.5344927310943604
61000,1754816056.1256633,-2.5218417644500732
61500,1754816057.1089435,-2.5262670516967773
62000,1754816058.9922411,-2.5136287212371826
62500,1754816060.8104732,-2.528799533843994
63000,1754816061.676123,-2.515820026397705
63500,1754816062.5195663,-2.5055735111236572
64000,1754816064.309685,-2.4891867637634277
64500,1754816066.3182425,-2.4982500076293945
65000,1754816067.0973675,-2.5056192874908447
65500,1754816067.9898114,-2.4962716102600098
66000,1754816069.2323647,-2.5064594745635986
66500,1754816071.0700579,-2.4879751205444336
67000,1754816073.1414106,-2.475255012512207
67500,1754816074.537248,-2.4835286140441895
68000,1754816075.2954323,-2.4749159812927246
68500,1754816076.0861459,-2.469184398651123
69000,1754816079.265985,-2.4834375381469727
69500,1754816082.0699193,-2.4896187782287598
70000,1754816086.8798091,-2.492778778076172
70500,1754816088.4347222,-2.4747202396392822
71000,1754816089.3159626,-2.475508213043213
71500,1754816090.5325952,-2.4861032962799072
72000,1754816093.17369,-2.479060649871826
72500,1754816095.904982,-2.485652208328247
73000,1754816098.3590112,-2.458073377609253
73500,1754816099.3535109,-2.468770980834961
74000,1754816100.1735747,-2.468018054962158
74500,1754816101.7756274,-2.456956386566162
75000,1754816103.8096776,-2.462508201599121
75500,1754816104.872505,-2.4555888175964355
76000,1754816105.7197287,-2.4733519554138184
76500,1754816107.7680142,-2.466789722442627
77000,1754816110.0532205,-2.4698891639709473
77500,1754816112.1829174,-2.477959156036377
78000,1754816113.4603271,-2.483722686767578
78500,1754816115.5701554,-2.4891557693481445
79000,1754816117.9884079,-2.4686288833618164
79500,1754816121.446912,-2.4612603187561035
80000,1754816127.361737,-2.461315155029297
80500,1754816128.711616,-2.478823184967041
81000,1754816129.8479893,-2.470062017440796
81500,1754816131.7015088,-2.475024700164795
82000,1754816134.1293204,-2.4901480674743652
82500,1754816136.4271898,-2.489830493927002
83000,1754816137.7435148,-2.498079776763916
83500,1754816138.7696881,-2.5046348571777344
84000,1754816140.0100262,-2.5048880577087402
84500,1754816142.5292583,-2.5057802200317383
85000,1754816145.139188,-2.5200355052948
85500,1754816146.0356615,-2.509172201156616
86000,1754816146.8624318,-2.483264923095703
86500,1754816148.1691203,-2.4581034183502197
87000,1754816150.3499289,-2.4566779136657715
87500,1754816152.6579962,-2.457919120788574
88000,1754816154.5179489,-2.468982696533203
88500,1754816155.4545047,-2.480802536010742
89000,1754816156.3686402,-2.498096227645874
89500,1754816158.6153352,-2.5011420249938965
90000,1754816167.140369,-2.4823899269104004
90500,1754816170.3423407,-2.4860851764678955
91000,1754816173.0483456,-2.4782307147979736
91500,1754816175.2642176,-2.463282585144043
92000,1754816178.5880196,-2.475259780883789
92500,1754816182.4272912,-2.464083671569824
93000,1754816185.0738506,-2.4590601921081543
93500,1754816188.5032694,-2.4487087726593018
94000,1754816190.5449603,-2.454585075378418
94500,1754816193.0869277,-2.433274745941162
95000,1754816195.8312395,-2.4328575134277344
95500,1754816197.7399454,-2.422478199005127
96000,1754816200.4423451,-2.4208030700683594
96500,1754816202.180551,-2.4130444526672363
97000,1754816204.8061802,-2.413486957550049
97500,1754816205.815903,-2.3998918533325195
98000,1754816206.9302938,-2.414738178253174
98500,1754816209.9533374,-2.419466018676758
99000,1754816213.5435195,-2.4139420986175537
99500,1754816219.0116925,-2.4167697429656982
100000,1754816226.9882016,-2.4015774726867676
100500,1754816229.223955,-2.4117488861083984
101000,1754816232.1655812,-2.394639730453491
101500,1754816234.853488,-2.382343053817749
102000,1754816236.5286682,-2.383924961090088
102500,1754816238.6199534,-2.3689351081848145
103000,1754816239.6983817,-2.3641061782836914
103500,1754816240.459746,-2.36905574798584
104000,1754816241.2501702,-2.3545150756835938
104500,1754816242.930662,-2.3607888221740723
105000,1754816244.8279521,-2.3643646240234375
105500,1754816245.7281675,-2.373950719833374
106000,1754816246.6268694,-2.376831531524658
106500,1754816247.8810909,-2.368834972381592
107000,1754816249.9210637,-2.3736705780029297
107500,1754816252.0335846,-2.3804166316986084
108000,1754816253.411205,-2.3760671615600586
108500,1754816254.350029,-2.3622994422912598
109000,1754816255.2429605,-2.371628761291504
109500,1754816257.8143635,-2.368122100830078
110000,1754816262.5764155,-2.362234115600586
110500,1754816264.664822,-2.3496651649475098
111000,1754816266.1674366,-2.347522258758545
111500,1754816269.0512326,-2.3493704795837402
112000,1754816270.6372108,-2.355638027191162
112500,1754816271.7480137,-2.3766064643859863
113000,1754816275.235808,-2.3708865642547607
113500,1754816278.7703834,-2.3725991249084473
114000,1754816282.4616883,-2.373318672180176
114500,1754816285.7018054,-2.356329917907715
115000,1754816288.6078236,-2.3708643913269043
115500,1754816290.7038276,-2.360778570175171
116000,1754816293.7127104,-2.357128858566284
116500,1754816295.9636853,-2.3712005615234375
117000,1754816298.386548,-2.38210391998291
117500,1754816300.2037892,-2.375401258468628
118000,1754816301.0948946,-2.3654236793518066
118500,1754816301.9809349,-2.3529436588287354
119000,1754816303.9403298,-2.3452162742614746
119500,1754816306.1019604,-2.341879367828369
120000,1754816310.9932823,-2.3415114879608154
120500,1754816312.5405545,-2.3436026573181152
121000,1754816313.3740425,-2.3524179458618164
121500,1754816314.278721,-2.3591346740722656
122000,1754816315.6924224,-2.367147445678711
122500,1754816317.6793027,-2.3677995204925537
123000,1754816319.4136205,-2.3716750144958496
123500,1754816320.3396606,-2.3686203956604004
124000,1754816322.163077,-2.3701796531677246
124500,1754816324.1773937,-2.36531400680542
125000,1754816327.4122949,-2.3733673095703125
125500,1754816328.8390946,-2.36629581451416
126000,1754816329.6134655,-2.367206573486328
126500,1754816330.388737,-2.372701644897461
127000,1754816331.7373362,-2.366215229034424
127500,1754816333.6258378,-2.3724210262298584
128000,1754816334.7299068,-2.357017993927002
128500,1754816335.4868286,-2.369144916534424
129000,1754816336.269801,-2.3668885231018066
129500,1754816337.876213,-2.364952564239502
130000,1754816342.1064668,-2.354285478591919
130500,1754816343.766442,-2.3540191650390625
131000,1754816345.9408827,-2.356916904449463
131500,1754816346.9008734,-2.3603439331054688
132000,1754816348.8953717,-2.365565538406372
132500,1754816350.5491323,-2.364677906036377
133000,1754816351.8335035,-2.3598060607910156
133500,1754816355.2885346,-2.3852672576904297
134000,1754816356.7640152,-2.3746118545532227
134500,1754816357.9889822,-2.3734078407287598
135000,1754816360.4384432,-2.35787034034729
135500,1754816362.7139363,-2.3369927406311035
136000,1754816363.9252496,-2.3358702659606934
136500,1754816366.606417,-2.329582929611206
137000,1754816368.267374,-2.345881700515747
137500,1754816370.8295586,-2.3422462940216064
138000,1754816373.1390004,-2.329068422317505
138500,1754816373.968383,-2.3151023387908936
139000,1754816374.8896396,-2.3167452812194824
139500,1754816376.0836341,-2.319664239883423
140000,1754816380.91863,-2.3156471252441406
140500,1754816382.627217,-2.3138608932495117
141000,1754816384.5007918,-2.31392765045166
141500,1754816385.2894192,-2.3175644874572754
142000,1754816386.052465,-2.325953960418701
142500,1754816386.810608,-2.328794479370117
143000,1754816388.6955667,-2.312345027923584
143500,1754816390.3620734,-2.3089218139648438
144000,1754816391.2216194,-2.3092551231384277
144500,1754816392.0538397,-2.3155410289764404
145000,1754816393.1394317,-2.326375722885132
145500,1754816394.86292,-2.337672710418701
146000,1754816396.3481345,-2.33026385307312
146500,1754816397.20579,-2.3470988273620605
147000,1754816397.964094,-2.3337831497192383
147500,1754816399.7174532,-2.3462839126586914
148000,1754816402.095119,-2.3527469635009766
148500,1754816405.0633295,-2.359205722808838
149000,1754816408.163064,-2.3291759490966797
149500,1754816410.5756052,-2.323741912841797
150000,1754816415.1774178,-2.339925765991211
150500,1754816417.446947,-2.342212200164795
151000,1754816418.4121418,-2.347118854522705
151500,1754816419.1796298,-2.3425133228302
152000,1754816420.1388586,-2.3618805408477783
152500,1754816422.1778185,-2.3681886196136475
153000,1754816423.802578,-2.3584413528442383
153500,1754816424.5662334,-2.361091136932373
154000,1754816425.3745623,-2.3521244525909424
154500,1754816426.569867,-2.36575984954834
155000,1754816428.3600807,-2.3744802474975586
155500,1754816431.0254774,-2.3664908409118652
156000,1754816433.1275241,-2.380742311477661
156500,1754816433.8776274,-2.372652053833008
157000,1754816434.6762722,-2.3848485946655273
157500,1754816436.0341196,-2.3811607360839844
158000,1754816438.089946,-2.393498420715332
158500,1754816439.1456838,-2.3963441848754883
159000,1754816439.917558,-2.4032349586486816
159500,1754816441.6322951,-2.408560037612915
160000,1754816448.0367117,-2.4039316177368164
160500,1754816449.1565216,-2.3931682109832764
161000,1754816451.3492846,-2.3746399879455566
161500,1754816453.4863575,-2.374539852142334
162000,1754816454.4702382,-2.3865809440612793
162500,1754816456.4256482,-2.382101535797119
163000,1754816458.5819302,-2.3756141662597656
163500,1754816460.328634,-2.373664140701294
164000,1754816461.1768527,-2.3873558044433594
164500,1754816462.0696642,-2.3853402137756348
